From	To
P15121	AKR1B1
Q13263	TRIM28
P61978	HNRNPK
Q5VWJ9	SNX30
Q07157	TJP1
P62249	RPS16
Q9H6R7	WDCP
Q10589	BST2
Q14116	IL18
Q9H3K6	BOLA2
Q9H3K6	BOLA2B
O95394	PGM3
Q86UW7	CADPS2
Q9ULD0	OGDHL
P62917	RPL8
Q13011	ECH1
Q9NR19	ACSS2
P83916	CBX1
Q9UBR2	CTSZ
Q8WWM9	CYGB
P17931	LGALS3
Q8TBX8	PIP4K2C
O75923	DYSF
P04003	C4BPA
P48681	NES
P49915	GMPS
O15533	TAPBP
P27338	MAOB
P53990	IST1
P46939	UTRN
Q9UHB9	SRP68
Q9UKL6	PCTP
Q9BQ61	TRIR
P0C0L5	C4B
P0C0L5	C4B_2
Q96S37	SLC22A12
P21810	BGN
Q8IXM2	BAP18
O95834	EML2
P61019	RAB2A
Q8N8R3	SLC25A29
Q9P0V9	SEPTIN10
Q8TB96	ITFG1
Q92572	AP3S1
Q8TCS8	PNPT1
Q8NI60	COQ8A
Q8TDX5	ACMSD
O75663	TIPRL
Q08170	SRSF4
Q9Y263	PLAA
P42766	RPL35
Q969T9	WBP2
Q13057	COASY
P02652	APOA2
Q12802	AKAP13
O95168	NDUFB4
P62888	RPL30
P40616	ARL1
P78324	SIRPA
P36969	GPX4
Q8N766	EMC1
P20042	EIF2S2
O43684	BUB3
Q9NXE8	CWC25
Q9Y5L4	TIMM13
P54727	RAD23B
Q15120	PDK3
A6NDB9	PALM3
P17568	NDUFB7
P19320	VCAM1
Q9NZN4	EHD2
Q96M32	AK7
O60343	TBC1D4
Q9H9J2	MRPL44
P37231	PPARG
Q8NHP8	PLBD2
Q9NQ48	LZTFL1
Q9Y490	TLN1
Q99623	PHB2
Q8WWV3	RTN4IP1
P00491	PNP
O95757	HSPA4L
Q03426	MVK
P35680	HNF1B
P21399	ACO1
Q96CX2	KCTD12
P13591	NCAM1
Q92905	COPS5
Q9Y617	PSAT1
P31689	DNAJA1
Q99543	DNAJC2
P15586	GNS
Q96G03	PGM2
P62314	SNRPD1
O75348	ATP6V1G1
P29034	S100A2
P01903	HLA-DRA
Q9P273	TENM3
Q53FT3	HIKESHI
Q9NZT2	OGFR
Q6IQ23	PLEKHA7
Q9UM54	MYO6
Q8TC12	RDH11
P09871	C1S
P53396	ACLY
P05154	SERPINA5
Q6UB35	MTHFD1L
P34897	SHMT2
P39019	RPS19
O75781	PALM
P61313	RPL15
Q9H4L7	SMARCAD1
O43396	TXNL1
P16671	CD36
Q96GA7	SDSL
P09210	GSTA2
Q9UEU0	VTI1B
O94973	AP2A2
P81605	DCD
P63244	RACK1
P08493	MGP
P14324	FDPS
Q9Y678	COPG1
P52789	HK2
Q9NRX3	NDUFA4L2
P12694	BCKDHA
Q96CN7	ISOC1
Q9Y2Q9	MRPS28
O95747	OXSR1
Q8NFF5	FLAD1
P07148	FABP1
P08729	KRT7
P68871	HBB
P58546	MTPN
O14907	TAX1BP3
P55083	MFAP4
P05067	APP
O95219	SNX4
P33176	KIF5B
P02790	HPX
P17900	GM2A
P05386	RPLP1
P49006	MARCKSL1
P02545	LMNA
Q658Y4	FAM91A1
Q9UHY7	ENOPH1
Q9NSK0	KLC4
Q6E0U4	DMKN
Q96HY7	DHTKD1
P09936	UCHL1
Q16650	TBR1
P04062	GBA
Q13509	TUBB3
Q9NX58	LYAR
P25391	LAMA1
P24844	MYL9
P18621	RPL17
O15347	HMGB3
Q9NVA2	SEPTIN11
Q96PD5	PGLYRP2
O00567	NOP56
Q5T6J7	IDNK
Q9NRN7	AASDHPPT
Q13642	FHL1
Q9Y2Q5	LAMTOR2
O94819	KBTBD11
O76021	RSL1D1
P01891	HLA-A
P62273	RPS29
Q13576	IQGAP2
P10412	H1-4
Q5T2T1	MPP7
Q05682	CALD1
P24298	GPT
Q9HBH5	RDH14
P33121	ACSL1
Q9Y5S9	RBM8A
P21333	FLNA
P62805	H4-16
P62805	H4C1
P62805	H4C11
P62805	H4C12
P62805	H4C13
P62805	H4C14
P62805	H4C15
P62805	H4C2
P62805	H4C3
P62805	H4C4
P62805	H4C5
P62805	H4C6
P62805	H4C8
P62805	H4C9
Q8WUK0	PTPMT1
O00115	DNASE2
P04080	CSTB
O15027	SEC16A
P08697	SERPINF2
O00515	LAD1
Q15526	SURF1
P30086	PEBP1
Q9BZE1	MRPL37
O15195	VILL
P50336	PPOX
Q9BYD6	MRPL1
P17813	ENG
P48643	CCT5
Q92930	RAB8B
Q9Y3D6	FIS1
Q9UMX5	NENF
Q8WUI4	HDAC7
P52943	CRIP2
P49755	TMED10
P35579	MYH9
Q9NTJ5	SACM1L
Q9P032	NDUFAF4
P07951	TPM2
Q96DH6	MSI2
P36405	ARL3
Q9BPW8	NIPSNAP1
Q8NEZ3	WDR19
P28330	ACADL
P24666	ACP1
Q9H4A4	RNPEP
Q04760	GLO1
P29972	AQP1
Q13247	SRSF6
P21695	GPD1
Q15418	RPS6KA1
Q9C005	DPY30
O14828	SCAMP3
Q9BT09	CNPY3
P02788	LTF
Q8TBA6	GOLGA5
O75431	MTX2
P30419	NMT1
Q9NYL9	TMOD3
O00571	DDX3X
P41091	EIF2S3
Q9NZD2	GLTP
P09382	LGALS1
P55786	NPEPPS
Q01085	TIAL1
Q9BUP0	EFHD1
P00390	GSR
P49189	ALDH9A1
P62714	PPP2CB
A1L0T0	ILVBL
P42224	STAT1
O60488	ACSL4
Q7LG56	RRM2B
Q9H3G5	CPVL
P57737	CORO7
P27797	CALR
Q9Y478	PRKAB1
P35542	SAA4
O43181	NDUFS4
Q02543	RPL18A
O95782	AP2A1
P07738	BPGM
Q9H173	SIL1
Q02218	OGDH
Q6P4F2	FDX2
Q96P70	IPO9
Q16881	TXNRD1
P38571	LIPA
Q15084	PDIA6
P62906	RPL10A
Q15942	ZYX
Q9UHL4	DPP7
P09493	TPM1
Q9Y3B7	MRPL11
P01764	IGHV3-23
P01040	CSTA
O95347	SMC2
P36269	GGT5
Q7Z2W4	ZC3HAV1
P19652	ORM2
Q6PEY1	TMEM88
Q9Y512	SAMM50
Q9UHV9	PFDN2
Q13451	FKBP5
P62495	ETF1
P14543	NID1
Q14789	GOLGB1
Q92621	NUP205
Q08211	DHX9
Q86TU7	SETD3
P69905	HBA1
P69905	HBA2
Q9H2H8	PPIL3
P31513	FMO3
P07900	HSP90AA1
P62244	RPS15A
Q9UBU9	NXF1
Q96M96	FGD4
Q92747	ARPC1A
Q709C8	VPS13C
Q9Y6C2	EMILIN1
P04275	VWF
O60664	PLIN3
P40261	NNMT
Q6IB77	GLYAT
O00186	STXBP3
Q53H82	LACTB2
Q16186	ADRM1
Q8IX12	CCAR1
Q16773	KYAT1
Q16666	IFI16
A6NDG6	PGP
P30101	PDIA3
Q15165	PON2
P00736	C1R
O15244	SLC22A2
Q9NQP4	PFDN4
P06865	HEXA
P28072	PSMB6
P05155	SERPING1
Q8IYQ7	THNSL1
Q9UQB8	BAIAP2
Q8NF37	LPCAT1
P13639	EEF2
O75146	HIP1R
Q6P587	FAHD1
Q9BTE6	AARSD1
Q86U42	PABPN1
Q99816	TSG101
Q8WVM8	SCFD1
O60218	AKR1B10
Q6NVY1	HIBCH
Q14108	SCARB2
Q6P996	PDXDC1
Q9C0B1	FTO
Q07954	LRP1
P45973	CBX5
Q9H3N1	TMX1
Q9Y6G9	DYNC1LI1
P46087	NOP2
P00748	F12
Q9BYF1	ACE2
Q15847	ADIRF
Q01082	SPTBN1
P61457	PCBD1
Q96JY6	PDLIM2
O43491	EPB41L2
O15399	GRIN2D
Q96QR8	PURB
P05162	LGALS2
O94874	UFL1
Q15382	RHEB
Q9UBS4	DNAJB11
Q8IUX7	AEBP1
P16112	ACAN
P01008	SERPINC1
P28332	ADH6
P02751	FN1
Q9NWS8	RMND1
Q13765	NACA
P12821	ACE
Q9P260	RELCH
O75746	SLC25A12
Q13045	FLII
Q8WW12	PCNP
O14974	PPP1R12A
Q13813	SPTAN1
Q8IUD2	ERC1
O95721	SNAP29
P22626	HNRNPA2B1
P78371	CCT2
P50402	EMD
P16157	ANK1
Q15365	PCBP1
Q8IXI2	RHOT1
P40926	MDH2
O60716	CTNND1
P02792	FTL
Q9HC35	EML4
O14949	UQCRQ
P01023	A2M
Q14203	DCTN1
Q9HB20	PLEKHA3
P30084	ECHS1
Q14160	SCRIB
P09104	ENO2
O43617	TRAPPC3
P51580	TPMT
P60033	CD81
Q13492	PICALM
P30273	FCER1G
O60494	CUBN
Q0VF96	CGNL1
Q16543	CDC37
O00148	DDX39A
P62258	YWHAE
Q6YN16	HSDL2
O00422	SAP18
P43080	GUCA1A
P51798	CLCN7
Q5VZ46	KIAA1614
Q15424	SAFB
P78330	PSPH
Q9BXP5	SRRT
Q495M3	SLC36A2
Q9Y2Z4	YARS2
P16930	FAH
O94788	ALDH1A2
P28070	PSMB4
Q8N163	CCAR2
Q9Y5X1	SNX9
Q9H2U2	PPA2
P06280	GLA
O15014	ZNF609
P51888	PRELP
P14780	MMP9
P11279	LAMP1
Q5VIR6	VPS53
Q9NT62	ATG3
Q9BTW9	TBCD
Q02809	PLOD1
P61201	COPS2
O15020	SPTBN2
P22676	CALB2
P22234	PAICS
Q9P0J0	NDUFA13
P21397	MAOA
P16615	ATP2A2
Q01518	CAP1
Q9HAB8	PPCS
Q5JPH6	EARS2
P09497	CLTB
P55084	HADHB
Q92973	TNPO1
Q9NQX3	GPHN
P50479	PDLIM4
P14920	DAO
Q9UKG1	APPL1
Q32P28	P3H1
P48147	PREP
P32754	HPD
Q06830	PRDX1
Q7L5N1	COPS6
O75891	ALDH1L1
Q9BT78	COPS4
Q13126	MTAP
O60749	SNX2
Q14764	MVP
P02042	HBD
Q9HCB6	SPON1
P42574	CASP3
Q7L576	CYFIP1
Q6IAA8	LAMTOR1
Q92575	UBXN4
P29401	TKT
P11215	ITGAM
P63098	PPP3R1
Q8IVM0	CCDC50
P17540	CKMT2
Q15018	ABRAXAS2
O15540	FABP7
P84103	SRSF3
P06133	UGT2B4
Q5T2W1	PDZK1
Q99757	TXN2
Q93088	BHMT
Q9Y6D6	ARFGEF1
P61626	LYZ
O95967	EFEMP2
O60220	TIMM8A
Q9Y606	PUS1
Q8IXB1	DNAJC10
O00151	PDLIM1
Q9NZ45	CISD1
P30040	ERP29
Q9UHA4	LAMTOR3
Q8NBJ5	COLGALT1
Q16658	FSCN1
P49407	ARRB1
Q8WW59	SPRYD4
O94875	SORBS2
Q6NV75	GPR153
Q15126	PMVK
Q9NYQ3	HAO2
Q9Y259	CHKB
P14854	COX6B1
P07954	FH
P27482	CALML3
O15511	ARPC5
Q02750	MAP2K1
P49753	ACOT2
Q9UNS2	COPS3
Q9HCF6	TRPM3
P27816	MAP4
Q15746	MYLK
Q6UW63	POGLUT2
Q8N6H7	ARFGAP2
Q9NX46	ADPRS
P10515	DLAT
P23142	FBLN1
P15428	HPGD
Q96I99	SUCLG2
Q9Y697	NFS1
O43324	EEF1E1
Q9H9F9	ACTR5
Q12904	AIMP1
Q86VN1	VPS36
P51553	IDH3G
P39023	RPL3
Q86UY8	NT5DC3
Q8WTX9	ZDHHC1
P18859	ATP5PF
A4D1P6	WDR91
Q9BQE5	APOL2
Q9UBG0	MRC2
P14866	HNRNPL
P00797	REN
P01717	IGLV3-25
Q9H1E5	TMX4
Q8WWI1	LMO7
O43294	TGFB1I1
O95563	MPC2
P63151	PPP2R2A
P46108	CRK
P55008	AIF1
Q14683	SMC1A
P05937	CALB1
Q16719	KYNU
Q86UP2	KTN1
Q7KZF4	SND1
Q9H845	ACAD9
Q9BS26	ERP44
A6NNA5	DRGX
P04211	IGLV7-43
Q9HBL0	TNS1
Q9H7C9	AAMDC
Q9H269	VPS16
P43034	PAFAH1B1
Q13505	MTX1
P08263	GSTA1
Q9H6S3	EPS8L2
P80404	ABAT
P50897	PPT1
Q9NY33	DPP3
P39059	COL15A1
Q9NQT8	KIF13B
P42677	RPS27
P25705	ATP5F1A
Q9UL25	RAB21
Q9NWU1	OXSM
Q5T440	IBA57
Q9Y262	EIF3L
P55265	ADAR
Q96C00	ZBTB9
Q02978	SLC25A11
Q9NV96	TMEM30A
P32456	GBP2
Q99598	TSNAX
Q9P2K5	MYEF2
O95299	NDUFA10
Q9H4G4	GLIPR2
Q15181	PPA1
P46821	MAP1B
Q9Y3F4	STRAP
Q5VXI9	LIPN
P05186	ALPL
P31943	HNRNPH1
O95167	NDUFA3
P35611	ADD1
O75323	NIPSNAP2
Q14165	MLEC
Q9UGB7	MIOX
P23083	IGHV1-2
Q8TD19	NEK9
P62310	LSM3
Q9UKU7	ACAD8
P13693	TPT1
Q8N4Q0	ZADH2
Q9Y3A6	TMED5
P13667	PDIA4
P35080	PFN2
Q9P2F5	STOX2
Q9UH62	ARMCX3
Q8WXI4	ACOT11
Q12797	ASPH
Q15121	PEA15
Q15843	NEDD8
Q71UM5	RPS27L
Q9H307	PNN
Q00056	HOXA4
Q6UXS9	CASP12
P27144	AK4
O43815	STRN
Q92890	UFD1
P17980	PSMC3
Q96CM4	NXNL1
Q05397	PTK2
P61221	ABCE1
O75884	RBBP9
Q6PIU2	NCEH1
Q7Z6Z7	HUWE1
O00154	ACOT7
Q86YB7	ECHDC2
Q7L266	ASRGL1
P11498	PC
Q9GZT8	NIF3L1
P12931	SRC
P21912	SDHB
O14618	CCS
P49959	MRE11
Q5T447	HECTD3
Q9P035	HACD3
P82650	MRPS22
P50747	HLCS
P02746	C1QB
P13473	LAMP2
O75531	BANF1
P29218	IMPA1
Q9BQ52	ELAC2
Q16630	CPSF6
Q16740	CLPP
P42330	AKR1C3
P30042	GATD3A
P30042	GATD3B
O43809	NUDT21
Q13435	SF3B2
Q5JTJ3	COA6
P09132	SRP19
Q99497	PARK7
Q9BTT0	ANP32E
Q8NHG7	SVIP
O00757	FBP2
P16152	CBR1
P23193	TCEA1
P51690	ARSL
Q13404	UBE2V1
P62942	FKBP1A
Q7L0Y3	TRMT10C
O60784	TOM1
Q01433	AMPD2
O94986	CEP152
Q7Z4W1	DCXR
P83111	LACTB
P29350	PTPN6
Q92520	FAM3C
P56192	MARS1
P08571	CD14
P02749	APOH
Q8WXX5	DNAJC9
Q6DD88	ATL3
P55060	CSE1L
P60903	S100A10
P34931	HSPA1L
P42785	PRCP
Q9UIA9	XPO7
P09661	SNRPA1
Q12792	TWF1
P14923	JUP
Q9P2R7	SUCLA2
P31153	MAT2A
P18124	RPL7
O96000	NDUFB10
P60510	PPP4C
Q8IYU8	MICU2
P08107	HSPA1A
P08107	HSPA1B
P15531	NME1
Q9NSD9	FARSB
Q9Y2X3	NOP58
Q93083	MT1L
Q03518	TAP1
O60826	CCDC22
P56134	ATP5MF
P53007	SLC25A1
P35527	KRT9
Q9H6V9	LDAH
Q15008	PSMD6
P00739	HPR
P36543	ATP6V1E1
Q9NRZ7	AGPAT3
Q9ULC6	PADI1
P55789	GFER
P12644	BMP4
P49914	MTHFS
Q06278	AOX1
Q9UKY7	CDV3
P61586	RHOA
P61289	PSME3
Q8NBS9	TXNDC5
Q9Y2V2	CARHSP1
P25325	MPST
Q06033	ITIH3
Q9Y376	CAB39
P49789	FHIT
Q9Y4K1	CRYBG1
Q9HBG4	ATP6V0A4
Q9Y3I0	RTCB
Q8IZP0	ABI1
P42126	ECI1
Q8NI22	MCFD2
O15371	EIF3D
Q16790	CA9
O94832	MYO1D
P59103	DAOA
P26599	PTBP1
Q6GMR7	FAAH2
P52758	RIDA
P01859	IGHG2
P24534	EEF1B2
Q13155	AIMP2
O75352	MPDU1
O43768	ENSA
P12109	COL6A1
Q969L2	MAL2
Q9P219	CCDC88C
Q9H4A3	WNK1
Q86UX2	ITIH5
Q53T59	HS1BP3
P07996	THBS1
P48163	ME1
Q9UBQ5	EIF3K
Q14103	HNRNPD
P62841	RPS15
P12004	PCNA
Q8TAE8	GADD45GIP1
P30613	PKLR
Q562E7	WDR81
Q8NCW5	NAXE
P50991	CCT4
Q96CT7	CCDC124
Q96HY6	DDRGK1
P23396	RPS3
P62081	RPS7
Q9NYL4	FKBP11
Q96BY6	DOCK10
P0CG38	POTEI
O95487	SEC24B
P15313	ATP6V1B1
Q86V81	ALYREF
Q6NUK1	SLC25A24
P0DJI9	SAA2
Q96KP4	CNDP2
O43451	MGAM
P11586	MTHFD1
P14209	CD99
P28288	ABCD3
P46379	BAG6
Q8TEX9	IPO4
P62070	RRAS2
Q9Y5J7	TIMM9
Q13885	TUBB2A
Q3L8U1	CHD9
Q9H7Z7	PTGES2
P45880	VDAC2
Q96AP7	ESAM
Q9C0D6	FHDC1
Q96TC7	RMDN3
Q9Y3E7	CHMP3
Q08722	CD47
Q96HD9	ACY3
P01034	CST3
Q9P0M6	MACROH2A2
A6NJG2	SOWAHD
O75915	ARL6IP5
P60468	SEC61B
P04040	CAT
Q15020	SART3
A0PJK1	SLC5A10
Q9NP81	SARS2
P13804	ETFA
Q14677	CLINT1
P61020	RAB5B
Q8NBU5	ATAD1
P01871	IGHM
O75153	CLUH
O60271	SPAG9
Q86UX7	FERMT3
P43652	AFM
P08621	SNRNP70
P09417	QDPR
Q9Y333	LSM2
P01780	IGHV3-7
Q9NZJ5	EIF2AK3
Q9Y2T2	AP3M1
Q9Y394	DHRS7
Q9UI17	DMGDH
Q13405	MRPL49
P62995	TRA2B
Q9NUL5	SHFL
O00534	VWA5A
P00966	ASS1
P00558	PGK1
Q13347	EIF3I
Q99963	SH3GL3
P34896	SHMT1
P12235	SLC25A4
Q9Y2Y0	ARL2BP
O60762	DPM1
P13798	APEH
Q9HD45	TM9SF3
P62910	RPL32
O00391	QSOX1
P36776	LONP1
Q07837	SLC3A1
Q8WV74	NUDT8
Q12874	SF3A3
O60502	OGA
Q96IJ6	GMPPA
Q9Y6I3	EPN1
P46736	BRCC3
P11171	EPB41
O95881	TXNDC12
O75309	CDH16
P52566	ARHGDIB
P07737	PFN1
P40855	PEX19
Q4G176	ACSF3
Q96S52	PIGS
O43676	NDUFB3
Q969H0	FBXW7
O95571	ETHE1
P36959	GMPR
O60506	SYNCRIP
Q14126	DSG2
O75223	GGCT
Q9UJ70	NAGK
Q16891	IMMT
O14791	APOL1
Q4U2R8	SLC22A6
O60256	PRPSAP2
Q15369	ELOC
Q6ZVF9	GPRIN3
P61006	RAB8A
P17858	PFKL
P68036	UBE2L3
Q9Y277	VDAC3
O75351	VPS4B
P53597	SUCLG1
P05114	HMGN1
Q01740	FMO1
Q15370	ELOB
P62753	RPS6
P30085	CMPK1
P52597	HNRNPF
Q9H0N0	RAB6C
P01834	IGKC
O95436	SLC34A2
Q86VU5	COMTD1
Q9NP58	ABCB6
Q4VC31	MIX23
Q9H2M3	BHMT2
Q08380	LGALS3BP
Q9UEY8	ADD3
O95870	ABHD16A
Q9BY32	ITPA
P20645	M6PR
O95372	LYPLA2
Q9UK22	FBXO2
O95400	CD2BP2
P30048	PRDX3
Q13418	ILK
Q9BW30	TPPP3
Q9HAV7	GRPEL1
Q15428	SF3A2
P39060	COL18A1
P60660	MYL6
Q9UH65	SWAP70
Q15118	PDK1
Q8N4P3	HDDC3
Q9P0J1	PDP1
Q04917	YWHAH
Q9Y2J2	EPB41L3
Q96PE7	MCEE
Q9Y4F1	FARP1
Q9H3Y8	PPDPF
Q8IZ83	ALDH16A1
Q9NWV8	BABAM1
O75821	EIF3G
Q9UKK3	PARP4
Q9BQI0	AIF1L
P27169	PON1
Q9Y3C8	UFC1
Q92673	SORL1
Q3YEC7	RABL6
P27695	APEX1
P14174	MIF
P29590	PML
P20591	MX1
P63220	RPS21
Q96CW1	AP2M1
Q96RQ3	MCCC1
P52272	HNRNPM
Q9NZM1	MYOF
Q8N8A6	DDX51
Q08J23	NSUN2
P07919	UQCRH
Q8NDH3	NPEPL1
P14406	COX7A2
P10155	RO60
Q9UEE9	CFDP1
P01611	IGKV1D-12
Q9BVM4	GGACT
Q9H444	CHMP4B
Q8N6T3	ARFGAP1
P98082	DAB2
P00488	F13A1
Q9H8H3	METTL7A
Q96CM8	ACSF2
O14639	ABLIM1
P60866	RPS20
Q9BPX5	ARPC5L
Q9BUR5	APOO
O14964	HGS
P54868	HMGCS2
P18827	SDC1
O00159	MYO1C
O14745	SLC9A3R1
O15085	ARHGEF11
P04733	MT1F
Q15459	SF3A1
P51608	MECP2
Q99447	PCYT2
P43307	SSR1
Q7Z478	DHX29
Q709F0	ACAD11
Q9BWH2	FUNDC2
O00330	PDHX
Q9NUI1	DECR2
Q92547	TOPBP1
Q15149	PLEC
P20073	ANXA7
Q14011	CIRBP
Q5JTH9	RRP12
Q9Y570	PPME1
O00429	DNM1L
Q9P2D7	DNAH1
Q05639	EEF1A2
Q6IBS0	TWF2
Q9P2R3	ANKFY1
Q9BRT3	MIEN1
P04350	TUBB4A
Q15067	ACOX1
Q6ZU35	CRACD
Q8NBN7	RDH13
Q9Y3D9	MRPS23
Q93008	USP9X
Q13627	DYRK1A
P18583	SON
Q8ND23	CARMIL3
Q5VYY1	ANKRD22
Q8IV08	PLD3
P17050	NAGA
O75083	WDR1
P01591	JCHAIN
P16083	NQO2
Q96AT9	RPE
Q8TEM1	NUP210
P00338	LDHA
O60832	DKC1
O75340	PDCD6
Q92882	OSTF1
Q9H0T7	RAB17
P49773	HINT1
P13929	ENO3
Q16854	DGUOK
Q92845	KIFAP3
Q2TAA2	IAH1
Q9BW91	NUDT9
Q13098	GPS1
P08183	ABCB1
P06396	GSN
Q6UXV4	APOOL
P06702	S100A9
Q9NV70	EXOC1
P54652	HSPA2
Q9H773	DCTPP1
Q12805	EFEMP1
P07355	ANXA2
P07602	PSAP
Q96EY8	MMAB
P43121	MCAM
P62829	RPL23
Q15063	POSTN
P10586	PTPRF
O14818	PSMA7
P38919	EIF4A3
Q8NC51	SERBP1
Q9UI30	TRMT112
Q9NX40	OCIAD1
Q5R3I4	TTC38
Q16595	FXN
P55058	PLTP
P00747	PLG
Q13200	PSMD2
Q8TAD7	OCC1
P26368	U2AF2
P52209	PGD
P22792	CPN2
Q8N465	D2HGDH
Q13464	ROCK1
Q8IXM3	MRPL41
Q96A19	CCDC102A
Q96EG3	ZNF837
P33991	MCM4
P55957	BID
Q99873	PRMT1
P15941	MUC1
Q9Y2S7	POLDIP2
Q9H6Z4	RANBP3
Q969X1	TMBIM1
Q9Y6M9	NDUFB9
P35221	CTNNA1
Q92947	GCDH
O75717	WDHD1
P46781	RPS9
Q8IWE2	FAM114A1
Q9H9S4	CAB39L
P01625	IGKV4-1
Q14694	USP10
O95810	CAVIN2
O00468	AGRN
Q969V6	MRTFA
Q99627	COPS8
Q9NQC3	RTN4
P05387	RPLP2
P02679	FGG
Q8NCN5	PDPR
Q8NFW8	CMAS
Q6PGP7	TTC37
P46926	GNPDA1
Q9NTX5	ECHDC1
P83731	RPL24
Q02083	NAAA
Q9P2E9	RRBP1
P35659	DEK
Q9Y3A5	SBDS
Q96R05	RBP7
Q96AE4	FUBP1
Q16222	UAP1
Q9UFN0	NIPSNAP3A
Q9NVH6	TMLHE
P61758	VBP1
Q14847	LASP1
P01861	IGHG4
Q16798	ME3
P03886	MT-ND1
O14933	UBE2L6
P31948	STIP1
P47914	RPL29
Q08623	PUDP
P61081	UBE2M
Q86TI2	DPP9
Q9H4A6	GOLPH3
P20933	AGA
Q13501	SQSTM1
P18669	PGAM1
P47756	CAPZB
P20962	PTMS
P09496	CLTA
P14927	UQCRB
P46779	RPL28
O14880	MGST3
P37840	SNCA
Q06210	GFPT1
P63172	DYNLT1
Q9NPF4	OSGEP
Q14978	NOLC1
Q99426	TBCB
Q92530	PSMF1
O15212	PFDN6
P41240	CSK
Q14244	MAP7
P00915	CA1
P53999	SUB1
Q96FF7	MISP3
P39687	ANP32A
P15880	RPS2
Q14767	LTBP2
Q9BSH4	TACO1
Q562R1	ACTBL2
Q6UWM9	UGT2A3
Q9ULH4	LRFN2
Q9NRX2	MRPL17
Q8N8N7	PTGR2
P09601	HMOX1
P08311	CTSG
O75534	CSDE1
P51397	DAP
Q9NUM4	TMEM106B
Q9BUL8	PDCD10
Q6UB99	ANKRD11
P05109	S100A8
P08581	MET
Q6IN84	MRM1
P82980	RBP5
P33316	DUT
P49593	PPM1F
Q07075	ENPEP
Q3ZCQ8	TIMM50
O75191	XYLB
Q9NVI7	ATAD3A
Q8TDQ7	GNPDA2
Q01844	EWSR1
Q99735	MGST2
P05062	ALDOB
Q00577	PURA
P20472	PVALB
Q8N0W3	FCSK
Q14112	NID2
P10619	CTSA
P05107	ITGB2
P35268	RPL22
P13489	RNH1
Q7L099	RUFY3
Q9BV40	VAMP8
Q8N1G4	LRRC47
P00167	CYB5A
Q13867	BLMH
Q14117	DPYS
Q14728	MFSD10
Q53GQ0	HSD17B12
P30837	ALDH1B1
P02741	CRP
Q9UJZ1	STOML2
Q96C90	PPP1R14B
P24311	COX7B
P08473	MME
P14618	PKM
Q8WX93	PALLD
Q05519	SRSF11
Q9NUP9	LIN7C
Q96Q06	PLIN4
Q7LFX5	CHST15
Q9UNZ2	NSFL1C
Q9Y399	MRPS2
P08572	COL4A2
P22830	FECH
Q9NY15	STAB1
O43760	SYNGR2
P22352	GPX3
P26639	TARS1
O60568	PLOD3
P22105	TNXB
Q9NR30	DDX21
Q9H993	ARMT1
P80748	IGLV3-21
P61970	NUTF2
P40939	HADHA
P05093	CYP17A1
Q9NTJ4	MAN2C1
P12236	SLC25A6
Q07021	C1QBP
Q9H8L6	MMRN2
Q9H0E2	TOLLIP
Q86SX6	GLRX5
P06681	C2
Q8TE77	SSH3
Q6I9Y2	THOC7
P59998	ARPC4
P04424	ASL
O14980	XPO1
Q8N573	OXR1
P07451	CA3
Q9Y265	RUVBL1
P07902	GALT
Q17RC7	EXOC3L4
P23368	ME2
P16435	POR
P82914	MRPS15
P26885	FKBP2
Q9BXN1	ASPN
Q9NYK5	MRPL39
Q15056	EIF4H
Q9P015	MRPL15
Q8NFH5	NUP35
Q9NZD4	AHSP
Q6NY19	KANK3
P39656	DDOST
Q9UIJ7	AK3
Q9BXS5	AP1M1
P61163	ACTR1A
O00244	ATOX1
Q93100	PHKB
P19367	HK1
P07942	LAMB1
Q9UHX1	PUF60
P14635	CCNB1
Q5VYK3	ECPAS
Q9NVJ2	ARL8B
P04179	SOD2
Q9BZZ5	API5
O75251	NDUFS7
Q9NVZ3	NECAP2
Q9UDY2	TJP2
P51178	PLCD1
Q9C0C9	UBE2O
P07357	C8A
Q09028	RBBP4
P53618	COPB1
O60669	SLC16A7
P27348	YWHAQ
P48751	SLC4A3
O75380	NDUFS6
P21291	CSRP1
Q93091	RNASE6
Q9UBT2	UBA2
Q8N0X7	SPART
Q9BUH6	PAXX
Q16270	IGFBP7
P29622	SERPINA4
O95861	BPNT1
P12955	PEPD
Q08AH3	ACSM2A
Q15349	RPS6KA2
Q96FQ6	S100A16
O60547	GMDS
Q96KN1	LRATD2
P35442	THBS2
Q10713	PMPCA
Q9NRG7	SDR39U1
Q9NR64	KLHL1
Q9UBC2	EPS15L1
P62750	RPL23A
Q658N2	WSCD1
Q13268	DHRS2
Q15848	ADIPOQ
Q14980	NUMA1
Q5RKV6	EXOSC6
P51570	GALK1
Q12905	ILF2
P06331	IGHV4-34
A3KMH1	VWA8
P56182	RRP1
Q9ULP9	TBC1D24
P31150	GDI1
P15144	ANPEP
P00751	CFB
P99999	CYCS
P04083	ANXA1
P13761	HLA-DRB1
P62158	CALM1
P62158	CALM2
P62158	CALM3
Q9BXJ9	NAA15
P02511	CRYAB
Q96CS3	FAF2
P36955	SERPINF1
Q15119	PDK2
P57764	GSDMD
Q6XQN6	NAPRT
P61960	UFM1
Q9Y5B9	SUPT16H
P49458	SRP9
Q92616	GCN1
P48723	HSPA13
P46977	STT3A
